submission_date,state,tot_cases,new_case,tot_death,created_at
2021-04-06T00:00:00.000,AZ,846105,570.0,16996,2021-04-07T14:25:43.922
2020-10-21T00:00:00.000,AZ,234046,976.0,5854,2020-10-22T13:34:46.095
2020-05-10T00:00:00.000,AZ,11119,159.0,536,2020-05-11T21:26:08.000
2020-12-20T00:00:00.000,AZ,453916,5369.0,7971,2020-12-21T14:39:53.673
2020-03-04T00:00:00.000,AZ,2,0.0,0,2020-03-26T16:22:39.452
2020-12-07T00:00:00.000,AZ,366123,1570.0,6950,2020-12-08T14:59:49.759
2020-06-08T00:00:00.000,AZ,27678,789.0,1047,2020-06-09T16:49:08.000
2020-12-19T00:00:00.000,AZ,448547,5563.0,7937,2020-12-20T14:32:33.200
2021-04-30T00:00:00.000,AZ,862497,844.0,17324,2021-05-01T13:43:22.175
2021-07-07T00:00:00.000,AZ,898283,373.0,18004,2021-07-08T14:26:57.178
2020-06-18T00:00:00.000,AZ,43452,2520.0,1271,2020-06-19T15:01:11.041
2020-04-25T00:00:00.000,AZ,6280,235.0,273,2020-05-25T15:38:40.000
2020-10-11T00:00:00.000,AZ,225699,598.0,5759,2020-10-12T14:07:08.478
2020-03-11T00:00:00.000,AZ,9,1.0,0,2020-03-26T16:22:39.452
2020-08-22T00:00:00.000,AZ,197969,997.0,4756,2020-08-23T14:15:28.102
2020-07-14T00:00:00.000,AZ,128132,4274.0,2337,2020-07-15T15:05:12.266
2021-04-19T00:00:00.000,AZ,854453,692.0,17153,2021-04-20T14:59:01.239
2021-04-15T00:00:00.000,AZ,851725,460.0,17123,2021-04-16T14:12:25.838
2020-09-17T00:00:00.000,AZ,211760,1754.0,5409,2020-09-18T13:48:37.104
2020-07-23T00:00:00.000,AZ,152988,2336.0,3063,2020-07-24T14:18:40.590
2020-08-13T00:00:00.000,AZ,190859,1352.0,4383,2020-08-14T14:30:03.326
2020-12-01T00:00:00.000,AZ,337401,10325.0,6687,2020-12-02T15:48:48.293
2021-01-11T00:00:00.000,AZ,627926,8998.0,10147,2021-01-12T14:48:35.544
2020-06-26T00:00:00.000,AZ,66475,3429.0,1535,2020-06-27T17:51:58.649
2021-02-25T00:00:00.000,AZ,813532,939.0,15814,2021-02-26T15:02:41.950
2021-08-25T00:00:00.000,AZ,994736,3427.0,18638,2021-08-26T14:58:37.450
2020-07-02T00:00:00.000,AZ,87448,3334.0,1757,2020-07-03T15:01:33.762
2021-05-14T00:00:00.000,AZ,872022,854.0,17447,2021-05-15T13:54:58.561
2020-09-02T00:00:00.000,AZ,202946,520.0,5065,2020-09-03T14:18:16.891
2021-01-19T00:00:00.000,AZ,686108,6420.0,11266,2021-01-20T14:44:03.544
2020-07-27T00:00:00.000,AZ,163875,1814.0,3304,2020-07-28T14:21:07.479
2021-06-10T00:00:00.000,AZ,885412,370.0,17742,2021-06-11T14:20:54.139
2021-05-02T00:00:00.000,AZ,863927,356.0,17344,2021-05-03T13:58:14.867
2021-01-28T00:00:00.000,AZ,743668,4674.0,12819,2021-01-29T14:42:19.981
